Index,Open,High,Low,Close,adj,Volume
2017-01-18,121.769997,121.959999,120.910004,121.010002,118.024307,9064700
2017-01-19,120.489998,120.580002,119.550003,120.18,117.214767,11795600
2017-01-20,119.839996,120.309998,119.290001,119.940002,116.980698,16953200
2017-01-23,120.339996,121.870003,120.019997,121.139999,118.151077,13118400
2017-01-24,120.769997,121.129997,119.800003,120.309998,117.341568,8395000
2017-01-25,119.279999,119.599998,118.559998,118.800003,115.86882,11115100
2017-01-26,118.910004,119.260002,118.330002,119.199997,116.258942,7827900
2017-01-27,119.400002,119.830002,119.25,119.629997,116.678345,7197800
2017-01-30,119.440002,119.879997,119.199997,119.269997,116.327217,6569500
2017-01-31,119.330002,120.400002,119.25,120.099998,117.136757,13298500
2017-02-01,119.099998,119.529999,118.580002,119.099998,116.412468,10975500
2017-02-02,119.93,120.139999,119,119.050003,116.363602,6978600
2017-02-03,119.440002,119.870003,118.470001,119,116.314705,10275600
2017-02-06,119.760002,120.129997,119.120003,119.720001,117.018463,8433800
2017-02-07,119.779999,121.010002,119.470001,120.599998,117.878624,8418400
2017-02-08,121.419998,122.269997,121.410004,122.239998,119.481621,15734200
2017-02-09,121.410004,121.589996,120.660004,120.830002,118.103432,16890600
2017-02-10,120.110001,120.949997,120.110001,120.760002,118.035019,7978500
2017-02-13,120.25,120.410004,119.879997,120.379997,117.663582,11536800
2017-02-14,120.239998,120.300003,118.830002,119.510002,116.813217,12575600
2017-02-15,118.760002,119.220001,118.650002,118.959999,116.275627,8481000
2017-02-16,119.220001,120.209999,119.120003,119.610001,116.910957,10005800
2017-02-17,120.610001,120.699997,120.129997,120.32,117.604942,7886400
2017-02-21,119.68,120.610001,119.599998,120.110001,117.399689,8703800
